_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(5840307879baba5e5702811e),www.immobilienscout24.de/expose/89114234,immobilienscout,17:09:55,2016-06-28,2016-06-28T17:09:55Z,850,49,münchen,aatg,private,1
ObjectID(5840561179baba5e570298b6),www.immowelt.de/expose/2AJ7B4N,immowelt,17:14:15,2016-07-16,2016-07-16T17:14:15Z,800,32,münchen,agp,private,1
ObjectID(58469b3e79baba5e57029e34),www.immobilienscout24.de/expose/90306914,immobilienscout,07:24:11,2016-09-17,2016-09-17T07:24:11Z,439.92,48.88,berlin,gxayp,company,2
ObjectID(5840307979baba5e57028122),www.immobilienscout24.de/expose/89118065,immobilienscout,17:10:36,2016-06-28,2016-06-28T17:10:36Z,499,48,köln,iga,company,1
ObjectID(584ec1e0c980817b111fbb8d),www.immowelt.de/expose/2B52M4N,immowelt,07:29:15,2016-10-11,2016-10-11T07:29:15Z,650,54.95,hamburg,gti,private,2
ObjectID(58402c1e79baba5e57027a7a),www.immobilienscout24.de/expose/88951596,immobilienscout,07:55:56,2016-06-17,2016-06-17T07:55:56Z,255,38.56,leipzig,pga,company,1
ObjectID(584031e979baba5e570282dc),www.immobilienscout24.de/expose/64265516,immobilienscout,17:08:44,2016-07-01,2016-07-01T17:08:44Z,229,39.57,dortmund,tpg,company,1
ObjectID(5840309579baba5e57028126),www.immobilienscout24.de/expose/89131573,immobilienscout,07:48:18,2016-06-29,2016-06-29T07:48:18Z,269.98,47.2,magdeburg,gia,company,1
ObjectID(5846b37079baba5e5702a63a),www.immobilienscout24.de/expose/90553609,immobilienscout,17:22:21,2016-10-02,2016-10-02T17:22:21Z,650,53,frankfurt,pgi,private,2
ObjectID(584031e879baba5e570282da),www.immobilienscout24.de/expose/89169990,immobilienscout,17:08:35,2016-07-01,2016-07-01T17:08:35Z,541,49.5,hamburg,git,company,1
ObjectID(5840302179baba5e570280a8),www.immobilienscout24.de/expose/89107427,immobilienscout,07:52:41,2016-06-28,2016-06-28T07:52:41Z,443.06,56.73,berlin,ptg,company,1
ObjectID(5840309679baba5e57028128),www.immobilienscout24.de/expose/89131091,immobilienscout,08:00:37,2016-06-29,2016-06-29T08:00:37Z,282,47,magdeburg,gpaa,company,1
ObjectID(58402b4379baba5e57027958),www.immobilienscout24.de/expose/87261642,immobilienscout,17:20:06,2016-06-14,2016-06-14T17:20:06Z,520,55,hamburg,tag,company,1
ObjectID(58402b9079baba5e570279c0),www.immobilienscout24.de/expose/88923998,immobilienscout,07:20:01,2016-06-15,2016-06-15T07:20:01Z,390,60,dortmund,gia,private,1
ObjectID(58402a5b79baba5e57027836),www.immobilienscout24.de/expose/62298791,immobilienscout,09:26:32,2016-06-13,2016-06-13T09:26:32Z,275,50,dortmund,iag,private,1
ObjectID(58402f9179baba5e57027fee),www.immobilienscout24.de/expose/89089113,immobilienscout,07:58:10,2016-06-27,2016-06-27T07:58:10Z,510,31,münchen,tga,private,1
ObjectID(5846b44979baba5e5702a770),www.immobilienscout24.de/expose/90633084,immobilienscout,17:45:07,2016-10-07,2016-10-07T17:45:07Z,495,44,köln,gta,private,2
ObjectID(58469e6e79baba5e5702a222),www.immobilienscout24.de/expose/90453531,immobilienscout,17:23:42,2016-09-24,2016-09-24T17:23:42Z,675,48,frankfurt,pga,private,2
ObjectID(58469e6d79baba5e5702a220),www.immobilienscout24.de/expose/90441686,immobilienscout,17:23:39,2016-09-24,2016-09-24T17:23:39Z,660,47,frankfurt,gap,private,2
ObjectID(584ec239c980817b111fbbbc),www.immowelt.de/expose/2BZDZ4N,immowelt,07:23:24,2016-10-12,2016-10-12T07:23:24Z,260,50,köln,gtp,private,2
ObjectID(5846b48279baba5e5702a79e),www.immobilienscout24.de/expose/66437697,immobilienscout,07:28:49,2016-10-11,2016-10-11T07:28:49Z,218,54.5,magdeburg,tag,company,2
ObjectID(58402b8479baba5e57027994),www.immobilienscout24.de/expose/88876675,immobilienscout,07:20:39,2016-06-15,2016-06-15T07:20:39Z,440,40,köln,aig,private,1
ObjectID(5840309e79baba5e57028148),www.immobilienscout24.de/expose/89106868,immobilienscout,07:49:33,2016-06-29,2016-06-29T07:49:33Z,540,46.54,münchen,igt,private,1
ObjectID(584038b079baba5e57028aac),www.immobilienscout24.de/expose/89292931,immobilienscout,17:10:12,2016-07-15,2016-07-15T17:10:12Z,420,50,nürnberg,tgi,private,1
ObjectID(584030a079baba5e57028150),www.immobilienscout24.de/expose/89114391,immobilienscout,07:49:49,2016-06-29,2016-06-29T07:49:49Z,350.3,39.91,berlin,apg,company,1
ObjectID(584035a479baba5e5702876e),www.immobilienscout24.de/expose/89292869,immobilienscout,07:52:52,2016-07-09,2016-07-09T07:52:52Z,261,32.61,dresden,gti,company,1
