_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.rooms,flat_meta.surface,flat_meta.title,city,order,stage
ObjectID(58404bce79baba5e57028d2a),www.immowelt.de/expose/2AWQ749,immowelt,07:19:52,2016-06-15,2016-06-15T07:19:52Z,360,NA,57,"2ZKB Balkon, ruhige Stadtrandlage, TG- Stellplatz",leipzig,NA,4
ObjectID(58404c4579baba5e57028dc4),www.immowelt.de/expose/2AP4X49,immowelt,07:50:12,2016-06-17,2016-06-17T07:50:12Z,342,NA,60,"Laminat, Tageslichtbad, Balkon, perfekt für kleine Familie",leipzig,NA,4
ObjectID(58404c7b79baba5e57028dc6),www.immowelt.de/expose/2AR9C4A,immowelt,17:06:13,2016-06-17,2016-06-17T17:06:13Z,342,NA,60,"Laminat, Tageslichtbad, Balkon, perfekt für kleine Familie",leipzig,NA,4
ObjectID(58404c7d79baba5e57028dca),www.immowelt.de/expose/2AT2C4A,immowelt,17:06:13,2016-06-17,2016-06-17T17:06:13Z,315,NA,49.69,"Dachgeschoss, Einbauküche, Duschbad, super Verkehrsanbindung",leipzig,NA,4
ObjectID(58404c8379baba5e57028de4),www.immowelt.de/expose/2A89C4A,immowelt,17:07:39,2016-06-17,2016-06-17T17:07:39Z,290,NA,41.23,"Zuschnappen!  Bad mit Wanne, Laminat, EBK möglich, super Grundriss",leipzig,NA,4
ObjectID(58404c8779baba5e57028dee),www.immowelt.de/expose/2AZ8C4A,immowelt,17:07:50,2016-06-17,2016-06-17T17:07:50Z,360,NA,56.93,Komplett modernisiert !!!! ERSTBEZUG,leipzig,NA,4
ObjectID(58404cd779baba5e57028e30),www.immowelt.de/expose/2ATBN4A,immowelt,17:01:42,2016-06-18,2016-06-18T17:01:42Z,330,NA,57,"2ZKB Balkon, Tiefgarage, ruhige Lage",leipzig,NA,4
ObjectID(58404d8e79baba5e57028f1e),www.immowelt.de/expose/2AR2H4B,immowelt,17:11:52,2016-06-21,2016-06-21T17:11:52Z,390,NA,39,"| NEUES BADEZIMMER | 2-Zimmer auf fast 40qm, ruhig gelegen",nürnberg,NA,1
ObjectID(58404d8f79baba5e57028f24),www.immowelt.de/expose/2A2KJ4B,immowelt,17:12:08,2016-06-21,2016-06-21T17:12:08Z,265,NA,49,49qm Nordstadt,dortmund,NA,4
ObjectID(58404d9879baba5e57028f46),www.immowelt.de/expose/2A2UE4B,immowelt,17:14:55,2016-06-21,2016-06-21T17:14:55Z,280,NA,54,Sehr schöne 2 Zimmer Wohnung in Magdeburg/Sudenburg,magdeburg,NA,1
ObjectID(58404d9979baba5e57028f48),www.immowelt.de/expose/2ARDH4B,immowelt,17:13:17,2016-06-21,2016-06-21T17:13:17Z,375,NA,38,zentrale 2 Zi. Wohnung in HH-Harburg,hamburg,NA,1
ObjectID(58404d9a79baba5e57028f4a),www.immowelt.de/expose/2ANTE4B,immowelt,17:12:26,2016-06-21,2016-06-21T17:12:26Z,240,NA,42,Sehr schöne 2- Zimmerwohnung im Erdgeschoss mit Balkon,magdeburg,NA,1
ObjectID(58404d9c79baba5e57028f4c),www.immowelt.de/expose/2AF6K4B,immowelt,17:13:55,2016-06-21,2016-06-21T17:13:55Z,386,NA,48.5,Gemütliche kleine Wohnung ideal für Singles mit EBK,dresden,NA,1
ObjectID(58404d9d79baba5e57028f4e),www.immowelt.de/expose/2ADJ84B,immowelt,17:14:17,2016-06-21,2016-06-21T17:14:17Z,350,NA,52,2 ZW Nürnberg,nürnberg,NA,1
ObjectID(58404d9e79baba5e57028f50),www.immowelt.de/expose/2AHDK4B,immowelt,17:14:39,2016-06-21,2016-06-21T17:14:39Z,320,NA,48,"SCHÖNE 2,5 ZIMMER-CITYWOHNUNG IN FH-NÄHE ZU VERMIETEN",dortmund,NA,1
ObjectID(58404de579baba5e57028fb0),www.immowelt.de/expose/2ATTX4B,immowelt,17:28:14,2016-06-22,2016-06-22T17:28:14Z,380,NA,40,Liebe auf den ersten Blick!,nürnberg,NA,1
ObjectID(58404ebe79baba5e57029074),www.immowelt.de/expose/2APCS4C,immowelt,17:05:50,2016-06-24,2016-06-24T17:05:50Z,290,NA,45.2,"Tolle Wohnung, verkehrszentral, Laminat, Tageslichtbad mit Dusche, EBK möglich",leipzig,NA,4
ObjectID(58404ebf79baba5e57029076),www.immowelt.de/expose/2A8BS4C,immowelt,17:05:51,2016-06-24,2016-06-24T17:05:51Z,295,NA,55.63,"Balkon, Tageslichtbad, Garten",leipzig,NA,4
ObjectID(58404ec179baba5e5702907e),www.immowelt.de/expose/2AP7S4C,immowelt,17:06:07,2016-06-24,2016-06-24T17:06:07Z,340,NA,45,Geräumige 1-Zimmer Wohnung in der Rosenau.,nürnberg,NA,4
ObjectID(58404ec579baba5e5702908c),www.immowelt.de/expose/2AFDS4C,immowelt,17:07:18,2016-06-24,2016-06-24T17:07:18Z,398,NA,59,"Zuschnappen! 3 Raumwohnung, Tageslichtbad, Balkon, EBK, WG-geeignet, super Grundriss",leipzig,NA,4
ObjectID(58404ec679baba5e57029090),www.immowelt.de/expose/2AKCS4C,immowelt,17:07:21,2016-06-24,2016-06-24T17:07:21Z,330,NA,47.6,"Ruhiges Wohnen! Laminat, Bad mit Dusche EBK möglich",leipzig,NA,4
ObjectID(58404f1179baba5e570290f8),www.immowelt.de/expose/2AA2A4D,immowelt,07:59:41,2016-06-27,2016-06-27T07:59:41Z,244.86,NA,42,1 ZKB mit Wohnküche incl. EBK,leipzig,NA,4
ObjectID(58404f1779baba5e57029112),www.immowelt.de/expose/2AXZ94D,immowelt,08:00:50,2016-06-27,2016-06-27T08:00:50Z,225,NA,42,1 ZKB mit Wohnküche und Parkettfußboden,leipzig,NA,4
ObjectID(58404f7679baba5e57029176),www.immowelt.de/expose/2AS5V4D,immowelt,07:53:18,2016-06-28,2016-06-28T07:53:18Z,400,NA,31,"Gemütliche 1 Zi-Whg, Frankfurt-Berkersheim",frankfurt,NA,2
ObjectID(58404fcd79baba5e570291b8),www.immowelt.de/expose/2AL5S4E,immowelt,07:48:36,2016-06-29,2016-06-29T07:48:36Z,330,NA,57,"2ZKB Balkon, Tiefgarage, ruhige Lage",leipzig,NA,4
ObjectID(58404fda79baba5e570291e2),www.immowelt.de/expose/2AY6S4E,immowelt,07:50:51,2016-06-29,2016-06-29T07:50:51Z,244.86,NA,42,1 ZKB mit Wohnküche incl. EBK,leipzig,NA,4
ObjectID(5840514b79baba5e57029332),www.immowelt.de/expose/2AW7J4G,immowelt,17:10:31,2016-07-02,2016-07-02T17:10:31Z,387.79,NA,59.66,** Erstbezug ** Tolle Wohnung in Leipzig-Neuschönefeld sucht einen Mieter,leipzig,NA,4
ObjectID(5840514f79baba5e57029344),www.immowelt.de/expose/2ABBJ4G,immowelt,17:11:25,2016-07-02,2016-07-02T17:11:25Z,290,NA,41.23,"Zuschnappen!  Bad mit Wanne, Laminat, EBK möglich, super Grundriss",leipzig,NA,4
ObjectID(5840515779baba5e5702935c),www.immowelt.de/expose/2AW6J4G,immowelt,17:12:25,2016-07-02,2016-07-02T17:12:25Z,315,NA,49.69,"Dachgeschoss, Einbauküche, Duschbad, super Verkehrsanbindung",leipzig,NA,4
ObjectID(5840515a79baba5e57029368),www.immowelt.de/expose/2AY7J4G,immowelt,17:12:50,2016-07-02,2016-07-02T17:12:50Z,390,NA,59.91,"Hochpaterre, Bad mit Wanne und Dusche, Laminat, Balkon",leipzig,NA,4
ObjectID(584052c779baba5e570294c2),www.immowelt.de/expose/2AB7D4J,immowelt,17:17:06,2016-07-06,2016-07-06T17:17:06Z,288,NA,54.25,RUHIGES WOHNEN mitten im Grünen*sonniger Balkon*Laminat,leipzig,NA,4
ObjectID(5840539879baba5e5702959a),www.immowelt.de/expose/2AAJ54K,immowelt,17:15:45,2016-07-08,2016-07-08T17:15:45Z,210,NA,33.48,"Sofort Bezugsfertig! Wohnung mit Terrasse, Erdgeschoss,Bad mit Wanne,offene Küche,TG",leipzig,NA,4
ObjectID(584053c979baba5e570295d0),www.immowelt.de/expose/2AMFG4K,immowelt,07:50:56,2016-07-09,2016-07-09T07:50:56Z,360,NA,56.93,Komplett modernisiert !!!! ERSTBEZUG,leipzig,NA,4
ObjectID(584053cd79baba5e570295dc),www.immowelt.de/expose/2AJGG4K,immowelt,07:51:38,2016-07-09,2016-07-09T07:51:38Z,305,NA,43.56,Single-Wohnung mit Loggia,leipzig,NA,4
ObjectID(584053cf79baba5e570295e2),www.immowelt.de/expose/2A5GG4K,immowelt,07:51:49,2016-07-09,2016-07-09T07:51:49Z,398,NA,59,"Zuschnappen! 3 Raumwohnung, Tageslichtbad, Balkon, EBK, WG-geeignet, super Grundriss",leipzig,NA,4
ObjectID(584053da79baba5e57029608),www.immowelt.de/expose/2AZFG4K,immowelt,07:52:03,2016-07-09,2016-07-09T07:52:03Z,235,NA,48,Gemütliche Maisonette-Wohnung - ideal für Singles,leipzig,NA,4
ObjectID(5840547179baba5e570296b0),www.immowelt.de/expose/2A96E4L,immowelt,07:52:05,2016-07-12,2016-07-12T07:52:05Z,399.89,NA,55.54,"Castellum* ERSTBEZUG mit Fußbodenheizung, Loggia und hochwertiger Ausstattung",leipzig,NA,1
ObjectID(5840547779baba5e570296c2),www.immowelt.de/expose/2AMXA4L,immowelt,07:50:49,2016-07-12,2016-07-12T07:50:49Z,374,NA,53,"Tolle Wohnung in Innenstadtnähe mit Glaserker, Rollläden , Fußbodenheizung und Fahrstuhl !!!!",dresden,NA,4
ObjectID(584054db79baba5e57029728),www.immowelt.de/expose/2AZXS4L,immowelt,07:52:53,2016-07-13,2016-07-13T07:52:53Z,320,NA,52,"2ZKB großer hofseitiger Balkon, EBK, Laminat, Tiefgarage",leipzig,NA,4
ObjectID(584054de79baba5e57029732),www.immowelt.de/expose/2ADVS4L,immowelt,07:53:17,2016-07-13,2016-07-13T07:53:17Z,330,NA,57,"2ZKB Balkon, Tiefgarage, ruhige Lage",leipzig,NA,4
ObjectID(584054e079baba5e57029738),www.immowelt.de/expose/2ASVS4L,immowelt,07:53:35,2016-07-13,2016-07-13T07:53:35Z,295,NA,59,"2ZKB Parkett, EBK, WG- geeignet",leipzig,NA,4
ObjectID(584055a279baba5e5702984e),www.immowelt.de/expose/2AUJW4M,immowelt,17:13:32,2016-07-15,2016-07-15T17:13:32Z,245.15,NA,41.41,"ruhig, Tageslichtbad",leipzig,NA,4
ObjectID(58469e2c79baba5e5702a1de),www.immobilienscout24.de/expose/90451289,immobilienscout,07:22:29,2016-09-24,2016-09-24T07:22:29Z,353,200,49.12,"Hallo Studenten, noch auf WE-Suche? 2-RWE mit EBK erwartet Euch",dresden,NA,4
ObjectID(58469e7279baba5e5702a22c),www.immobilienscout24.de/expose/90453753,immobilienscout,17:28:16,2016-09-24,2016-09-24T17:28:16Z,249,200,38.48,"Laminat, Bad mit Dusche, Balkon, Stellplatz",leipzig,NA,4
ObjectID(5846a09879baba5e5702a512),www.immobilienscout24.de/expose/69779303,immobilienscout,17:25:03,2016-09-30,2016-09-30T17:25:03Z,240,150,37,Wohnen auf dem Berge,dresden,NA,4
ObjectID(584ebd91c980817b111fb87c),www.immowelt.de/expose/2BYTJ4E,immowelt,07:30:04,2016-09-20,2016-09-20T07:30:04Z,275,NA,43.07,"Tolle Wohnung, verkehrszentral, Laminat, Tageslichtbad mit Dusche, EBK möglich",leipzig,NA,4
ObjectID(584ebdb2c980817b111fb887),www.immowelt.de/expose/2BJNY4E,immowelt,17:31:24,2016-09-20,2016-09-20T17:31:24Z,269,NA,35.59,Zentrumsnah Wohnen/1 Zimmer/Parkett/Einbauküche,leipzig,NA,4
ObjectID(584ebe0dc980817b111fb8d6),www.immowelt.de/expose/2BK6K4F,immowelt,07:28:25,2016-09-22,2016-09-22T07:28:25Z,240,NA,33.5,* 1 Zi. Apartment für Studenten im Osten von Leipzig - nicht weit vom Zentrum entfernt,leipzig,NA,4
ObjectID(584ebe63c980817b111fb90c),www.immowelt.de/expose/2BM844G,immowelt,07:26:40,2016-09-23,2016-09-23T07:26:40Z,250,NA,43,2ZKB  hofseitiges Schlafzimmer,leipzig,NA,4
ObjectID(584ebe8fc980817b111fb922),www.immowelt.de/expose/2BUYD4G,immowelt,17:24:05,2016-09-23,2016-09-23T17:24:05Z,305,NA,43.56,Single-Wohnung mit Loggia,leipzig,NA,4
ObjectID(584ebe8fc980817b111fb923),www.immowelt.de/expose/2BRXD4G,immowelt,17:24:04,2016-09-23,2016-09-23T17:24:04Z,360,NA,49.84,"Ruhiges Wohnen! Nussbaumlaminat, Bad mit Wanne, EBK möglich",leipzig,NA,4
ObjectID(584ebe91c980817b111fb928),www.immowelt.de/expose/2BCRD4G,immowelt,17:24:46,2016-09-23,2016-09-23T17:24:46Z,315,NA,49.69,"Dachgeschoss, Einbauküche, Duschbad, super Verkehrsanbindung",leipzig,NA,4
ObjectID(584ebe92c980817b111fb929),www.immowelt.de/expose/2BMTD4G,immowelt,17:24:48,2016-09-23,2016-09-23T17:24:48Z,350,NA,53.65,sonnige Wohnung mit Balkon/Bad mit Fenster/EBK/Laminat/gepflegter Altbau/ruhige Lage,leipzig,NA,4
ObjectID(584ebef8c980817b111fb973),www.immowelt.de/expose/2B83T4G,immowelt,17:23:14,2016-09-24,2016-09-24T17:23:14Z,249,NA,38.48,"Laminat, Bad mit Dusche, Balkon, Stellplatz",leipzig,NA,4
ObjectID(584ebf14c980817b111fb97d),www.immowelt.de/expose/2BALV4G,immowelt,07:25:32,2016-09-25,2016-09-25T07:25:32Z,328,NA,50.36,Sanierung läuft im ruhigen Erdgeschoss,leipzig,NA,4
